bandwidth_mbps,split_idx,mode,total_packets,missing_packets,sample_count,top1_acc,top5_acc,avg_ce_loss,samples,model_name,optimal_split_idx,edge_ms,server_ms,comm_ms,total_ms,activation_mb
0.2,7,random,591,10,3,84.33333333333333,90.33333333333331,1.0997787100076677,300,vit_b_16,7,9.246916666664143,6.501189000000333,2885.7421875,2901.4902931666643,0.5771484375
0.2,7,clean,591,20,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,2885.7421875,2901.4902931666643,0.5771484375
0.2,7,oracle,591,20,1,98.0,100.0,0.1913073013722896,100,vit_b_16,7,9.246916666664143,6.501189000000333,2885.7421875,2901.4902931666643,0.5771484375
0.2,7,random,591,20,3,86.33333333333333,88.33333333333333,1.1693500841160616,300,vit_b_16,7,9.246916666664143,6.501189000000333,2885.7421875,2901.4902931666643,0.5771484375
0.5,7,clean,591,5,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,1154.296875,1170.0449806666643,0.5771484375
0.5,7,oracle,591,5,1,98.0,100.0,0.1886532214283943,100,vit_b_16,7,9.246916666664143,6.501189000000333,1154.296875,1170.0449806666643,0.5771484375
0.5,7,random,591,5,3,80.66666666666667,86.66666666666667,1.353505561525623,300,vit_b_16,7,9.246916666664143,6.501189000000333,1154.296875,1170.0449806666643,0.5771484375
0.5,7,clean,591,10,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,1154.296875,1170.0449806666643,0.5771484375
0.5,7,oracle,591,10,1,98.0,100.0,0.1913452986627817,100,vit_b_16,7,9.246916666664143,6.501189000000333,1154.296875,1170.0449806666643,0.5771484375
0.5,7,random,591,10,3,84.33333333333333,90.33333333333331,1.0997787100076677,300,vit_b_16,7,9.246916666664143,6.501189000000333,1154.296875,1170.0449806666643,0.5771484375
0.5,7,clean,591,20,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,1154.296875,1170.0449806666643,0.5771484375
0.5,7,oracle,591,20,1,98.0,100.0,0.1913073013722896,100,vit_b_16,7,9.246916666664143,6.501189000000333,1154.296875,1170.0449806666643,0.5771484375
0.5,7,random,591,20,3,86.33333333333333,88.33333333333333,1.1693500841160616,300,vit_b_16,7,9.246916666664143,6.501189000000333,1154.296875,1170.0449806666643,0.5771484375
1.0,7,clean,591,5,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,577.1484375,592.8965431666645,0.5771484375
1.0,7,oracle,591,5,1,98.0,100.0,0.1886532214283943,100,vit_b_16,7,9.246916666664143,6.501189000000333,577.1484375,592.8965431666645,0.5771484375
1.0,7,random,591,5,3,80.66666666666667,86.66666666666667,1.353505561525623,300,vit_b_16,7,9.246916666664143,6.501189000000333,577.1484375,592.8965431666645,0.5771484375
1.0,7,clean,591,10,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,577.1484375,592.8965431666645,0.5771484375
1.0,7,oracle,591,10,1,98.0,100.0,0.1913452986627817,100,vit_b_16,7,9.246916666664143,6.501189000000333,577.1484375,592.8965431666645,0.5771484375
1.0,7,random,591,10,3,84.33333333333333,90.33333333333331,1.0997787100076677,300,vit_b_16,7,9.246916666664143,6.501189000000333,577.1484375,592.8965431666645,0.5771484375
1.0,7,clean,591,20,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,577.1484375,592.8965431666645,0.5771484375
1.0,7,oracle,591,20,1,98.0,100.0,0.1913073013722896,100,vit_b_16,7,9.246916666664143,6.501189000000333,577.1484375,592.8965431666645,0.5771484375
1.0,7,random,591,20,3,86.33333333333333,88.33333333333333,1.1693500841160616,300,vit_b_16,7,9.246916666664143,6.501189000000333,577.1484375,592.8965431666645,0.5771484375
2.0,7,clean,591,5,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,288.57421875,304.32232441666446,0.5771484375
2.0,7,oracle,591,5,1,98.0,100.0,0.1886532214283943,100,vit_b_16,7,9.246916666664143,6.501189000000333,288.57421875,304.32232441666446,0.5771484375
2.0,7,random,591,5,3,80.66666666666667,86.66666666666667,1.353505561525623,300,vit_b_16,7,9.246916666664143,6.501189000000333,288.57421875,304.32232441666446,0.5771484375
2.0,7,clean,591,10,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,288.57421875,304.32232441666446,0.5771484375
2.0,7,oracle,591,10,1,98.0,100.0,0.1913452986627817,100,vit_b_16,7,9.246916666664143,6.501189000000333,288.57421875,304.32232441666446,0.5771484375
2.0,7,random,591,10,3,84.33333333333333,90.33333333333331,1.0997787100076677,300,vit_b_16,7,9.246916666664143,6.501189000000333,288.57421875,304.32232441666446,0.5771484375
2.0,7,clean,591,20,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,288.57421875,304.32232441666446,0.5771484375
2.0,7,oracle,591,20,1,98.0,100.0,0.1913073013722896,100,vit_b_16,7,9.246916666664143,6.501189000000333,288.57421875,304.32232441666446,0.5771484375
2.0,7,random,591,20,3,86.33333333333333,88.33333333333333,1.1693500841160616,300,vit_b_16,7,9.246916666664143,6.501189000000333,288.57421875,304.32232441666446,0.5771484375
5.0,7,clean,591,5,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,115.4296875,131.1777931666645,0.5771484375
5.0,7,oracle,591,5,1,98.0,100.0,0.1886532214283943,100,vit_b_16,7,9.246916666664143,6.501189000000333,115.4296875,131.1777931666645,0.5771484375
5.0,7,random,591,5,3,80.66666666666667,86.66666666666667,1.353505561525623,300,vit_b_16,7,9.246916666664143,6.501189000000333,115.4296875,131.1777931666645,0.5771484375
5.0,7,clean,591,10,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,115.4296875,131.1777931666645,0.5771484375
5.0,7,oracle,591,10,1,98.0,100.0,0.1913452986627817,100,vit_b_16,7,9.246916666664143,6.501189000000333,115.4296875,131.1777931666645,0.5771484375
5.0,7,random,591,10,3,84.33333333333333,90.33333333333331,1.0997787100076677,300,vit_b_16,7,9.246916666664143,6.501189000000333,115.4296875,131.1777931666645,0.5771484375
5.0,7,clean,591,20,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,115.4296875,131.1777931666645,0.5771484375
5.0,7,oracle,591,20,1,98.0,100.0,0.1913073013722896,100,vit_b_16,7,9.246916666664143,6.501189000000333,115.4296875,131.1777931666645,0.5771484375
5.0,7,random,591,20,3,86.33333333333333,88.33333333333333,1.1693500841160616,300,vit_b_16,7,9.246916666664143,6.501189000000333,115.4296875,131.1777931666645,0.5771484375
10.0,7,clean,591,5,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,57.71484375,73.46294941666447,0.5771484375
10.0,7,oracle,591,5,1,98.0,100.0,0.1886532214283943,100,vit_b_16,7,9.246916666664143,6.501189000000333,57.71484375,73.46294941666447,0.5771484375
10.0,7,random,591,5,3,80.66666666666667,86.66666666666667,1.353505561525623,300,vit_b_16,7,9.246916666664143,6.501189000000333,57.71484375,73.46294941666447,0.5771484375
10.0,7,clean,591,10,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,57.71484375,73.46294941666447,0.5771484375
10.0,7,oracle,591,10,1,98.0,100.0,0.1913452986627817,100,vit_b_16,7,9.246916666664143,6.501189000000333,57.71484375,73.46294941666447,0.5771484375
10.0,7,random,591,10,3,84.33333333333333,90.33333333333331,1.0997787100076677,300,vit_b_16,7,9.246916666664143,6.501189000000333,57.71484375,73.46294941666447,0.5771484375
10.0,7,clean,591,20,1,98.0,100.0,0.1839184027910232,100,vit_b_16,7,9.246916666664143,6.501189000000333,57.71484375,73.46294941666447,0.5771484375
10.0,7,oracle,591,20,1,98.0,100.0,0.1913073013722896,100,vit_b_16,7,9.246916666664143,6.501189000000333,57.71484375,73.46294941666447,0.5771484375
10.0,7,random,591,20,3,86.33333333333333,88.33333333333333,1.1693500841160616,300,vit_b_16,7,9.246916666664143,6.501189000000333,57.71484375,73.46294941666447,0.5771484375
